playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
murcebo01,0.5146,1862,252,1043,972,285,45,862,6730,3352,293,90,48,0,0,0,0,0,0,1,0,0,0,0,0,2,11,3352,293,90,48,0,0,0,0,0,0,5,1,0,0
murphda05,0.4431,2111,398,1266,1197,350,39,986,7960,6319,300,123,172,91,32,0,0,0,0,3,0,0,1,0,0,0,11,6319,300,123,172,91,32,0,0,0,0,7,11,0,0
murraed02,0.5329,3255,504,1917,1627,560,35,1333,11336,21265,1871,168,2034,0,0,0,0,0,0,41,9,25,21,3,1,27,159,21265,1871,168,2034,0,0,0,0,0,0,6,6,1,1
meltobi01,0.4577,1004,160,591,496,162,9,479,3971,1178,2079,149,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,2079,149,217,0,0,0,0,0,0,0,0,0,0
milleno01,0.4780,325,24,159,166,68,10,160,1364,570,23,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,23,18,9,0,0,0,0,0,0,0,0,0,0
montawi01,0.4666,1604,139,802,645,279,25,465,5843,10764,747,104,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10764,747,104,969,0,0,0,0,0,0,1,0,0,0
murreiv01,0.4068,308,33,123,126,41,15,44,1306,921,42,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,42,25,33,0,0,0,0,0,0,0,0,0,0
northji01,0.5399,1254,153,610,603,218,42,449,4692,2715,73,55,33,0,0,0,0,0,0,12,2,9,4,0,1,3,42,2715,73,55,33,0,0,0,0,0,0,0,0,1,0
olivato01,0.5348,1917,220,947,870,329,48,448,6301,2332,71,61,19,0,0,0,0,0,0,16,3,5,7,5,0,2,51,2332,71,61,19,0,0,0,0,0,0,6,1,0,1
oliveal01,0.5389,2743,219,1326,1189,529,77,535,9049,9040,498,131,513,0,0,0,0,0,0,21,3,17,8,5,1,8,92,9040,498,131,513,0,0,0,0,0,0,7,3,1,0
