playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
mcdermi01,0.1957,6,0,3,7,2,0,2,33,1,17,1,1,0,0,4.16,108,0,0,0,0,0,0,0,0,0,0,1,17,1,1,0,0,4.16,108,0,0,0,0,0,0
mcelrji01,0.3154,7,0,3,3,0,0,1,50,13,25,10,1,0,0,15.66,125,0,0,0,0,0,0,0,0,0,0,13,25,10,1,0,0,15.66,125,0,0,0,0,0,0
mcginju01,0.5860,154,2,33,75,28,8,16,732,56,344,66,8,0,0,23.88,1572,0,0,0,0,0,0,0,0,0,0,56,344,66,8,0,0,23.88,1572,0,0,0,0,1,0
mcgunbi01,0.4677,35,0,6,24,0,1,5,202,70,39,11,2,0,0,6.04,156,0,0,0,0,0,0,0,0,0,0,70,39,11,2,0,0,6.04,156,0,0,0,0,0,1
mclauba01,0.4438,169,3,66,84,23,7,67,696,284,463,101,45,0,0,5.36,62,0,0,0,0,0,0,0,0,0,0,284,463,101,45,0,0,5.36,62,0,0,0,0,0,0
mclauji01,0.5943,5,0,0,3,1,1,0,22,3,7,1,0,0,0,3.68,27,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,3.68,27,0,0,0,0,0,0
mcnabed01,0.4615,13,0,8,11,1,1,4,67,11,31,5,1,0,0,4.12,167,0,0,0,0,0,0,0,0,0,0,11,31,5,1,0,0,4.12,167,0,0,0,0,0,0
millebe01,0.4000,1,0,0,0,0,0,0,6,1,4,0,0,0,0,7.94,32,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,7.94,32,0,0,0,0,0,0
millebo01,0.4100,8,0,4,4,1,0,3,58,5,35,4,0,0,0,8.58,142,1,0,0,0,0,0,0,0,0,0,5,35,4,0,0,0,8.58,142,1,0,0,0,0,0
millero01,0.4943,46,0,24,19,8,5,13,288,50,216,13,9,0,0,18.7,808,5,0,0,0,0,0,0,0,0,0,50,216,13,9,0,0,18.7,808,5,0,0,0,0,0
morrie01,0.5524,0,0,0,0,0,0,0,3,0,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,2,0,0,0,0,0,0
mullato01,0.5379,661,8,223,407,99,38,221,2720,916,1228,230,75,0,0,55.14,4195,15,0,0,0,0,0,0,0,0,0,916,1228,230,75,0,0,55.14,4195,15,0,0,0,0,1
murphco01,0.4713,15,0,7,11,2,0,6,79,9,43,7,3,0,0,11.37,205,2,0,0,0,0,0,0,0,0,0,9,43,7,3,0,0,11.37,205,2,0,0,0,0,0
nopsje01,0.6010,85,0,32,32,5,4,26,385,31,179,36,3,0,0,29.6,1083,1,0,0,0,0,0,0,0,0,0,31,179,36,3,0,0,29.6,1083,1,0,0,0,0,0
parkeja01,0.5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phylebi01,0.4513,32,0,8,17,5,1,9,182,54,116,15,3,0,0,9.25,324,2,0,0,0,0,0,0,0,0,0,54,116,15,3,0,0,9.25,324,2,0,0,0,0,0
pinkhed01,0.6786,25,1,17,27,5,5,18,95,43,59,32,1,0,0,3.48,10,1,0,0,0,0,0,0,0,0,0,43,59,32,1,0,0,3.48,10,1,0,0,0,0,0
